name|university
Alexandros Nanopoulos|University of Minnesota Twin Cities
Kshanti A. Greene|Stellenbosch University
Ali Nour Eldin|University of Lausanne
Eduard Kh. Gimadi|University of Alberta
Cinzia Vismara|Imperial College London
Yan Wang 0064|University of York
Rishav Singh|Northeastern University
Ricardo Reis 0001|Kanazawa University
Mikkel Skovsmose Tewes|University of Valencia
Jaume Barceló|University of Exeter
Marian Gheorghe 0001|Thomas Jefferson University
Igor Skrjanc|University of Rochester
Patrick Valduriez|Niigata University
Li Xiong 0001|Boston University
Philippe Du Bois|University of Strathclyde
Francesco Ciraulo|University at Albany SUNY
Florian Jotzo|University of Manchester
Martin Winkler|University of Rostock
Ramesh Upreti|University of Bern
Martin Stanley|Scuola Normale Superiore di Pisa
Guangming Sun|Xiamen University
Franck Ravat|National Autonomous University of Mexico
Arnaud Soulet|Mines ParisTech
Markus Lohrey|Tokyo Institute of Technology
Stéphane Gançarski|Thomas Jefferson University
Bugra Gedik|Colorado State University   Fort Collins
Thomas Tesch|South China University of Technology
Yi-Shin Chen|University of Texas at Austin
Fernando Sandoya|South China University of Technology
Hossein Momeni|University of Birmingham
Umberto Mengali|University of Ulsan
Kazimierz Subieta|Queen Mary University of London
Vasile-Marian Scuturici|Technical University of Berlin
Georg Reichwein|City College of New York
Lipyeow Lim|King Saud University
Arne Koschel|Wayne State University
Dilan Perale|University of Bordeaux I
Krzysztof Cabaj|University of Milan
Robert Picard|University of Montpellier 2
Vijay S. Rao|Tongji University
Mallikka Rajalingam|University of Lorraine
Massimo Pistoia|Seoul National University
Curtis T. McMullen|Louisiana State University   Baton Rouge
James E. Donahue|Pierre and Marie Curie University
Wei Jin 0006|King's College London
Gianfranco Fenu|Oregon Health & Science University
Erik Wittern|University of Turin
Tami Lapidot|University of Tampere
Andreas Abecker|Creighton University
Jeffrey W. Tweedale|University of Central Florida
Max A. Little|Washington State University Pullman
Mónica Aguilar-Igartua|Dartmouth College
Asela Gunawardana|University of Kansas
Lei Xu 0001|National and Kapodistrian University of Athens
Yanjun Wu|University of Granada
Stephen Perun|University of Texas at Dallas
Xinyu Li 0001|King's College London
Ernesto Damiani|Eindhoven University of Technology
Marina Blanton|Monash University
Ralf Küsters|National Autonomous University of Mexico
AnnMarie Ericsson|Stellenbosch University
Ayoub Ratbi|University of Genoa
Liping Zhao 0001|University of Utah
Olivier Teste|University of Liège
Yuri Bazilevs|University of Sydney
Thorsten Riemke-Gurzki|Joseph Fourier University
Sandip Sen|Tianjin University
Annamária Behúnová|Gyeongsang National University
Amit Banerjee|Duke University
Jørgen Villadsen|University of Groningen
Judith Masthoff|University of Kiel
Xiaodong Li 0011|George Mason University
Ingrid Rügge|Catholic University of the Sacred Heart
Luca De Santis|Stanford University
Marco Signoretto|University of Vienna
Gerome Miklau|Xi'an Jiaotong University
Philip K. McKinley|Princeton University
Kuldar Taveter|Autonomous University of Barcelona
Chantal Soulé-Dupuy|University of Vermont
Nicolas Vidot|Polytechnic University of Milan
Juliana Sá|University of Connecticut
Mustapha Aouchiche|Ohio University
Sara Bianchi|University of Bordeaux I
Sofiane Boukli Hacene|University of Michigan Ann Arbor
Raymond Turner|Aarhus University
Pascal Van Hentenryck|Erasmus University Rotterdam
Warren A. Hunt Jr.|Tongji University
Jorge Crichigno|University of Oxford
Akrivi Vlachou|Sun Yat sen University
Huan Li 0007|Niigata University
Alberto Arenghi|California Institute of Technology
Michel C. A. Klein|Erasmus University Rotterdam
Manas Hardas|Joseph Fourier University
Robin Burke|University of Cambridge
Gheorghe Paun|University of Bern
Angela Bonifati|University of Texas Health Science Center at Houston
Michele Amoretti|Washington University in St. Louis
Günter Rudolph|Eindhoven University of Technology
Zahra Ebrahimi|University of Warwick
Abdesselem Kortebi|University of Bordeaux II
Jörg Sander 0001|Aarhus University
Jesús Bermúdez|Polytechnic University of Milan
Michael Bosello|University of Vermont
Aidan Mackey|Hanyang University
Jun Zhao 0003|Australian National University
Clifford S. Ang|University of Birmingham
Mariana Damova|Jagiellonian University
Peter Ochieng|Macquarie University
S. Arungalai Vendan|York University
Valerio Bellandi|University of Copenhagen
Harsh S. Dhiman|University of Chile
Roderick M. Riensche|University of Alabama   Tuscaloosa
Zhouchen Lin|University of Arizona
Mariano Cilia|University of Verona
Tufan Kumbasar|College of William and Mary
Brian Lings|Chiba University
Yong-Jae Kim|Rensselaer Polytechnic Institute
Nicholas Kushmerick|University of California Irvine
Kassem Kallas|University of Padua
Kais Ben Salah|Swedish University of Agricultural Sciences
Ksenia Kolykhalova|Durham University
Zohra Saoud|University College Dublin
Claude Montacié|King Saud University
Clemens Düpmeier|Arizona State University
Ammar Rayes|Miami University
Alex Norta|University of Glasgow
Jean-Pierre Aubin|Chiba University
Senjuti Basu Roy|Western University (The University of Western Ontario)
Seilendria A. Hadiwardoyo|Université libre de Bruxelles
Igor Vasilyev|Peking University
Zuhair Khayyat|Swiss Federal Institute of Technology in Lausanne
Arvind Arasu|University of Lorraine
Thierry Delot|University of Auckland
Joseph M. Hellerstein|Erasmus University Rotterdam
Michael Wittman|Okayama University
Dimitris Plexousakis|University of North Carolina at Chapel Hill
Martin Rumpf|Wuhan University
Soumaya Marzouk|Seoul National University
Emanuele Trivella|University of Groningen
Haoda Huang|University of Warwick
Meriana Kobeissi|Niigata University
Akira Namatame|Yeshiva University
Richard Linares|Colorado School of Mines
Daniel A. Menascé|Darmstadt University of Technology
Jacques André Ndione|University of Sheffield
Donald E. Knuth|University of Aberdeen
Elias Bou-Harb|University of British Columbia
Phillip Lord|Technical University of Denmark
Walter Kintsch|Brown University
Sebastian Schmitz|Polytechnic University of Catalonia
Dirk Sudholt|University of Twente
Arnon Rosenthal|University of Marburg
Hans Uszkoreit|Indiana University Purdue University Indianapolis
Yuan Liang|Cardiff University
Jérôme Boudy|Imperial College London
Liang Gao|University of Tampere
C. Mohan 0001|University of Science Malaysia
Carlo Ratti|Colorado School of Mines
Harumi A. Kuno|University of South Florida   Tampa
Siani Pearson|Boston University
Giulia Petenazzi|University of Gothenburg
Fabien Hervé|King's College London
Ashfaq A. Khokhar|Illinois Institute of Technology
Michael Schumacher 0001|University of Marburg
André Richard|University of Birmingham
Giulio Angiani|University of Illinois at Urbana–Champaign
Diego García-Gil|University of Montpellier 2
Diego Calvanese|University of Akron
Malú Castellanos|University of Marburg
Dimitris Papadias|VU University Amsterdam
Leonid Nossov|University of Hamburg
Mukesh K. Mohania|Julius Maximilian's University of Würzburg
Ronaldo C. Prati|University of Bonn
Andreas V. M. Herz|University of Connecticut
Michel R. V. Chaudron|Umeå University
Ronan Tournier|Rensselaer Polytechnic Institute
Frédéric Blanchard|University of Ferrara
Dario Colazzo|Korea Advanced Institute of Science and Technology (KAIST)
Piotr Przymus|London School of Economics
Gösta Grahne|École normale supérieure de Lyon
Chiara Contoli|University of Tennessee Knoxville
Mirko Viroli|University of Copenhagen
Tadeusz Kaczorek|Norwegian University of Science and Technology
Justin Babuscio|RWTH Aachen University
Romuald Corbel|Ajou University
Igor T. Hawryszkiewycz|Kyoto University
Emrah Celik|University of Otago
Clyde Chabot|University of Western Australia
Ewald Lang|Thomas Jefferson University
Marina Bitsaki|Rice University
Ke Deng|Claude Bernard University Lyon 1
Seyed Masoud Sadjadi|Technical University of Dortmund
Jörg Kienzle|University of Bergen
Jessica Hartog|Cardiff University
Marina Buzzi|Mines ParisTech
Sunil Mathew|University of York
Cassia de Souza Carvalho|Utrecht University
Qichao Ma|University of Louisville
Robert Müller 0001|Southern Methodist University
Alexander Maedche|University of Hong Kong
Gaëtan Heidsieck|City College of New York
Jennifer Widom|University of Buenos Aires
Jan Øyvind Aagedal|National Chiao Tung University
Tatiana Pietkiewicz|Central South University
Emile H. L. Aarts|University of Canterbury
David May 0004|University of Pavia
Krishna Delvadia|University of Chile
Sandra Lemp|Ohio State University Columbus
Eric Medvet|College of William and Mary
Bo Wang|University of Missouri–Columbia
Ji Zhang 0002|University of Chicago
Dirk Draheim|University of Sheffield
Daniel Rosato|Ajou University
Zongmin Li|Wageningen University and Research Centre
Heyul Chavez|University at Albany SUNY
A. Zegzouti|University of Georgia
Takahiro Yakoh|University of Minnesota Twin Cities
Julie Hamon|Zhejiang University
János C. Fodor|Baylor University
Alexandra Pomares Quimbaya|Delft University of Technology
Sidi Mohammed Senouci|University of Science Malaysia
Geneva G. Belford|Johns Hopkins University
Yasir Zaki|University of Florence
Jutta A. Mülle|Eindhoven University of Technology
David Evans 0009|University of Guelph
Martin J. Wheatman|University of South Florida   Tampa
Hannes Ritschel|University of Wisconsin–Madison
Yuichi Ohsita|Beijing Normal University
Stamatis Vassiliadis|University of Glasgow
Germán Sancho|Brown University
Tong Lu|Boston College
Mouhamadou Ba|University of Nevada Reno
Raul Silaghi|University of Southampton
Letizia Leonardi|Scuola Normale Superiore di Pisa
Hind Castel-Taleb|Gwangju Institute of Science and Technology
Debabrata Samanta|University of Wisconsin–Madison
Bruno Defude|University of Padua
Thai-Minh Truong|Iowa State University
Namita Mittal|Keio University
Aram Galstyan|Eötvös Loránd University
Sonja Gunnarsdottir|Sungkyunkwan University
Jessie B. Kennedy|Ajou University
G. Barbian|Paris Diderot University   Paris 7
Alessandro Sperduti|King's College London
Vadim I. Utkin|University of São Paulo
Kazuhisa Fujimoto|Radboud University Nijmegen
Boyan Kolev|Beijing Normal University
Gérard Duru|Leipzig University
Gleb Beliakov|University of Modena and Reggio Emilia
Claudia Canali|University of New Hampshire
Thierry Gayraud|University of New South Wales
Jorge A. Laval|Eindhoven University of Technology
Peter Waterhouse|University of Queensland
Pierre Priouret|University of Montreal
Paraskevi Raftopoulou|Johannes Gutenberg University of Mainz
Theodor Sperlea|Williams College
Patrick Gourdet|Australian National University
João Pedro Costa|Virginia Polytechnic Institute and State University
Ingo Arnold|University of Chicago
Giulio Pante|Cranfield University
Guy Lebanon|Drexel University
Nikolaus Hansen|Université catholique de Louvain
Murali Rangaswamy|Queen's University Belfast
Reagan W. Moore|Delft University of Technology
Daniel Schall 0001|University of Nebraska Medical Center
Monica Reggiani|North Carolina State University
Jörgen Hansson|University of Maryland College Park
Elif Bozlak|Nagoya University
Anatol Emre Sargin|University of Houston
Michael J. Franklin|University of Texas Medical Branch at Galveston
Mehdi Elahi|Vanderbilt University
G. Matthew Fricke|Temple University
Mohamed Cherkaoui|West Virginia University
Ophir Frieder|University of Texas Health Science Center at Houston
Regina Fischer 0001|University of Lorraine
Lingyu Wang 0001|Katholieke Universiteit Leuven
Walter Vogler|University of Modena and Reggio Emilia
Alanus von Radecki|University of Amsterdam
Denis N. Sidorov|University of Nevada Reno
Patrick Traynor|University of New Hampshire
Palash Mandal|University of Bordeaux I
Felix Flentge|Paris Diderot University   Paris 7
Martin A. Musicante|University of Tokyo
Ralph Bohnet|University of Lisbon
Oscar Cordón|Texas Tech University (TTU)
Jean-Luc Hainaut|University of Tsukuba
José Antonio Lozano|Massachusetts Institute of Technology
Kamesh Munagala|Katholieke Universiteit Leuven
Klaus R. Dittrich|University of Oklahoma   Norman Campus
Michael Gertz 0001|Concordia University
Christophe Gouinaud|Aix Marseille University
Antoine Amarilli|Aalto University
Ayan Banerjee|University of Naples Federico II
Micha vor dem Berge|University of Copenhagen
Laurent Reynaud|University of Georgia
Claudio Sartori 0001|University of Glasgow
Cesar Gonzalez-Perez|National and Kapodistrian University of Athens
Magdalene Marinaki|McGill University
Giacomo Piccinelli|Dresden University of Technology
Antonio Origlia|University of Delaware
Sebastian Gutierrez-Nolasco|Monash University
Philippe Quéinnec|University of Ottawa
Kaarel Kaljurand|Temple University
Carl-Erik W. Sundberg|Gwangju Institute of Science and Technology
Robert Birke|University at Buffalo The State University of New York
Lisa Arnold 0001|University of Melbourne
Todd Tomlinson|Technion – Israel Institute of Technology
Frank Bomarius|University of Wyoming
Yihua Lan|Pompeu Fabra University
Hervé Martin|Ruprecht Karl University of Heidelberg
Vladimír Marík|Sapienza University of Rome
Tran Khanh Dang|University of Arkansas   Fayetteville
Éloi Bossé|University of Tsukuba
Patrizia Scandurra|Hebrew University of Jerusalem
Ahmad Afsahi|Yeshiva University
Marco Furini|University of Naples Federico II
Ugur Çetintemel|University of Liverpool
Michael Emmerich|Simon Fraser University
Christoph Liebig|University of Southern California
Zakaria Maamar|University of Münster
Philip Pecher|St George's University of London
David Konopnicki|University of Melbourne
Ruth F. Curtain|University of Porto
Arto Salomaa|Aix Marseille University
Fernanda S. H. Souza|University of Miami
Marco Scarpa|Michigan State University
Andreas Meier 0001|University of Central Florida
Jeff Z. Pan|Sun Yat sen University
Manoranjan Majji|University of Sussex
Vaclav Petras|Tongji University
Vijay Khatri|Aix Marseille University
Mike Davis|Pusan National University
Nabil Kouici|University of Canterbury
Holger Schwarz|University of Geneva
Wee Keong Ng|University of Utah
Edith Perrier|St George's University of London
Doug W. Rosenberg|London School of Hygiene & Tropical Medicine
Patrick Eugster|Aristotle University of Thessaloniki
Umesh Deshpande|St George's University of London
Jiawei Zhang 0001|Utrecht University
Herna L. Viktor|Waseda University
Abderrezak Rachedi|Washington University in St. Louis
Franz J. Hauck|Juntendo University
Nacira Chikhi|Kumamoto University
Miranda Zhang|Université libre de Bruxelles
Robert Stevens 0001|University of Melbourne
Jeril Kuriakose|University of Chicago
Maurizio Boccia|University of California Santa Cruz
Peter Scheuermann|Osaka City University
Aleksejs Sazonovs|San Diego State University
Pascal Berthou|Gyeongsang National University
Claudia Plant|University of California San Diego
Le Hong Trang|Dalian University of Technology
Andreas Niekler|University of Arizona
Paolo Naggar|Ghent University
Peter Christen|Hong Kong Polytechnic University
Samer Salam|Linköping University
Robert LeMoyne|Polytechnic University of Milan
Anne Koziolek|Kanazawa University
Taoufik Yeferny|Paul Sabatier University   Toulouse III
Guy Juanole|Chonbuk National University
Ahmed Tidjane Cissé|Kanazawa University
Jacques Duchêne|Dalhousie University
Alvaro A. A. Fernandes|Nanjing University
Timothy M. McPhillips|Vrije Universiteit Brussel
Emmanuel Cecchet|University of South Carolina   Columbia
Lamine Bougueroua|University of Colorado Boulder
Robert P. Biuk-Aghai|Boston College
Michele Pagano|University of Arkansas for Medical Sciences
Joachim F. Schreiber|Technical University of Dortmund
Michael Handler|Leiden University
Jens Müller 0002|Hannover Medical School
Fred W. Glover|Princeton University
Kwong Yuen Lai|Illinois Institute of Technology
Roberto Souto Maior de Barros|Syracuse University
Rajendra Akerkar|Nanyang Technological University
Caspar Ryan|Lomonosov Moscow State University
Arthur M. Langer|University of Manchester
Hong Min|California Institute of Technology
Robert Kozma 0001|Boston College
Bechara al Bouna|Tel Aviv University
Marcio Bender Machado|Stanford University
Eugenio Zimeo|Kumamoto University
Nurcin Celik|University of Kentucky
Donald Nute|Seoul National University
Laurent George 0001|University of Montreal
Ilyass El Kassmi|Jagiellonian University
Maria Grazia Fugini|University of Leeds
Priya Narasimhan|Oregon State University
Ludovica Primavera|University of Arkansas   Fayetteville
Katie Atkinson|University of Zurich
Guillaume Scerri|Texas Tech University (TTU)
Hubert Kenfack Ngankam|Mines ParisTech
Weirong Jiang|Osaka University
Luka Bonetti|Lancaster University
Yongwei Wu|University of California San Diego
Stephan Diehl 0001|Claude Bernard University Lyon 1
Angelika Glöckner-Rist|University of Hamburg
Mustafijur Rahman|Julius Maximilian's University of Würzburg
Marco Manna|Huazhong University of Science and Technology
Deepthi P. Pattathil|Stanford University
Nirmalya Roy|Macquarie University
Jochen Buchholz|Yokohama National University
Deepak S. Turaga|Peking University
Sergei Kurgalin|Seoul National University
Ryne T. Beeson|University of Tennessee Knoxville
Kurt Geihs|Xi'an Jiaotong University
Michael Malburg|University of Antwerp
Bart P. Knijnenburg|École Polytechnique
Kai-Uwe Sattler|Xiamen University
Sabrina Nusrat|Dartmouth College
Brendan Harmon|Cardiff University
Nizar Kheir|University of Nebraska–Lincoln
Sylvain Lecomte|University of Helsinki
Davide Ciucci|University of Georgia
Sergios Theodoridis|University of Montpellier 2
Roland Kotto Kombi|University of the Witwatersrand
Ronald K. Stamper|Stockholm University
Sylvain Le Gall|University of Minnesota Twin Cities
Javier Díaz|Carnegie Mellon University
Alberto Rosi|Chinese University of Hong Kong
P. Revanth Rathan|University of Gothenburg
Fatna Belqasmi|University of Nevada Reno
Hoang Tam Vo|University of Perugia
Charles A. Shoniregun|Loyola University Chicago
Chiraz Trabelsi|University of Colorado Denver
Christoph J. Stettina|Western University (The University of Western Ontario)
Gianluca Papaleo|University of Denver
Dami|Lancaster University
Michael Beetz|University of Chicago
Yong Liu|University of Trieste
Cosimo Distante|Pontifical Catholic University of Chile
Calton Pu|Vita Salute San Raffaele University
Rute Crisóstomo|Aristotle University of Thessaloniki
Davide Polonio|University of Melbourne
Anh Truong|Indian Institute of Technology Delhi
Melfry Moreno|University of Minnesota Twin Cities
Rodrigo Fernandes de Mello|University of Kansas
Stéphane Ethier|Virginia Commonwealth University
Annagret Taeschner|Hiroshima University
Gilles Thouénon|University of Cologne
Uwe Wössner|University of Rennes 1
Thuong-Cang Phan|Cardiff University
Zhen Gao|University of Regensburg
Paul Taylor|Chonbuk National University
Daniel Bolliger|University of Exeter
Eric Diehl|Eötvös Loránd University
Juan Fernández 0001|University of Maryland Baltimore
Scott Thomasma|University of Birmingham
Philippe Lamarre|University of Exeter
Stefan Sobernig|University of Saskatchewan
Emanuele Della Valle|Monash University
Jimmy Lin|Hannover Medical School
Jalel Ben-Othman|University of Tokyo
Shawyun Sariri|Maastricht University
Wanlei Zhou 0001|Rice University
Peter M. Hahn|Rice University
Marta C. González|Northwestern University
Surajit Chaudhuri|City University of Hong Kong
Peter McBurney|University of Akron
Aleksandra Kovacevic|Paul Sabatier University   Toulouse III
Dirk Glaubitz|Polytechnic University of Milan
Simon Wessing|Hong Kong University of Science and Technology
Francesca Pratesi|University of Bergen
Konrad Stark|Karlsruhe Institute of Technology
Aissam Ouinou|University of Adelaide
Ying Tan 0002|College of William and Mary
Aradhya Biswas|University of Hawaii at Manoa
M. F. Wolf|University of Tübingen
Mário J. Silva|George Mason University
Josef F. Krems|Beijing Normal University
Simon Delattre|University of Cape Town
Kuhanandha Mahalingam|Kobe University
Sana Sellami|University of Kentucky
Armelle Prigent|University of Nebraska Omaha
Fulvio Babich|University of Lorraine
Werner Sinzig|Polytechnic University of Valencia
Michael Friedrich 0002|University of Bath
Tarek Smaoui|University of Siena
Alessandro Leone|Columbia University
Manoj V. Thomas|University of Delhi
Clement Onime|Zhejiang University
Antoni Olivé|University of Bordeaux II
Alexander Reinefeld|University of Colorado Denver
Deyan Radev|Norwegian University of Science and Technology
Cécile Paris|University of Düsseldorf
Anshu Ohlan|National University of Singapore
Nistor Grozavu|University of Southern Denmark
R. Padmanabhan|Loyola University Chicago
Thomas Setzer|Brown University
Markus Berthold|Cornell University
Lei Chen 0002|Indian Institute of Technology Delhi
Hugues Fauconnier|Monash University
Pascal Urien|University of Pittsburgh   Pittsburgh Campus
Rimon Elias|Duke University
George Brancovici|University of East Anglia
Adrian Staii|University of Utah
Mladen Bozanic|University of Ferrara
Renaud Pawlak|University of Guelph
Lars Ruthotto|University of Bordeaux II
Mohamed Ayoub Messous|Pierre and Marie Curie University
Carlos Delgado Kloos|University of Otago
Carlotta Piscopo|University of Milan   Bicocca
Savas Konur|University of Adelaide
Steve Fisher|University of Missouri–Columbia
Iván Alejandro Encinas Monroy|Saint Louis University
Stefan Manegold|National and Kapodistrian University of Athens
Charles Cousyn|University of Pennsylvania
Philippe Merle|University of Oklahoma   Norman Campus
Doina Caragea|University of Rome Tor Vergata
Danielle S. McNamara|Massachusetts Institute of Technology
Seok Won Lee|City College of New York
Maria Rauschenberger|University of Alabama   Tuscaloosa
David J. Abel|University of KwaZulu Natal
Sathiya Prabhu Kumar|University of Modena and Reggio Emilia
Yolanda Villate|Simon Fraser University
Dominik Schiller|University of Nebraska–Lincoln
Maria Cristiana Martini|Washington State University Pullman
Hamdi Yahyaoui|Dalian University of Technology
Manuel Clavel|Chonbuk National University
Tor Aulin|University of Porto
Martin H. Fischer|Texas A&M University College Station
Vitalian A. Danciu|Royal Institute of Technology
Hocine Grine|Cranfield University
Ryan E. Grant|Tulane University
Catherine Faron-Zucker|Thomas Jefferson University
Francesco Ricci 0001|Aalto University
Alexander Keiblinger|Pusan National University
Randal W. Beard|California Institute of Technology
Joachim Kieschke|Federal University of Rio de Janeiro
Raymond S. T. Lee|Oregon State University
Egemen Tanin|Loyola University Chicago
Frank Victor|Albert Ludwig University of Freiburg
Ludovico Minto|Arizona State University
Leon Starr|University of Ottawa
Stefano Paris|University of York
Seyed-Mehdi-Reza Beheshti|Brunel University
Jeyavijayan Rajendran|Chonnam National University
Johan Lewi|Tokyo Institute of Technology
Bixia Wu|University of Exeter
Daniela Calvetti|Beijing Normal University
Harumi Minemura|University of Siena
Salvatore Greco|Xiamen University
Devesh K. Jha|University of Bergen
Olga De Troyer|Swiss Federal Institute of Technology in Lausanne
Giovanni Pau 0001|Saarland University
Maribel Acosta|Technical University of Berlin
Giovanni Vigna|Virginia Polytechnic Institute and State University
Ralf-Dieter Schimkat|Colorado School of Mines
Jaume Salom|University of Nebraska Omaha
Véronique Chirié|Tulane University
Yaw-Huei Chen|University of California Riverside
Sam Samuel|Karolinska Institute
Zeljka Car|Technical University of Madrid
Scott Renner|University of Saskatchewan
Piotr Pacyna|University of Utah
Sriparna Saha 0001|University of Verona
Anis Ahmed-Nacer|University of Milan   Bicocca
Pierre Schmitt|National Tsing Hua University
Olaf Owe|Tufts University
Song Liu 0001|York University
Yi Mei 0001|Eötvös Loránd University
Andy Bytheway|Baylor College of Medicine
Dietmar Hildenbrand|London School of Hygiene & Tropical Medicine
Amine Aït Younes|University of Central Florida
Philippe Bootz|Oregon Health & Science University
Michael Vassilakopoulos|McMaster University
Gene Fuh|Washington University in St. Louis
Pierre Dubois|University of Texas Southwestern Medical Center
Ricardo Galli|Tel Aviv University
Hichem Baala|Kyushu University
Jo Pierson|Oklahoma State University–Stillwater
Mohamed Mosbah 0001|University of Montpellier 2
Maria-Eugenia Iacob|Florida State University
Philipp Bostan|University of Bologna
Gert R. G. Lanckriet|University at Albany SUNY
Daniel F. Abawi|Johns Hopkins University
Christos Gkountis|University of Washington   Seattle
Steffen Braun|University of Calgary
Ashwin Pajankar|Chalmers University of Technology
Marten van Sinderen|University of Navarra
H. Bachatène|Illinois Institute of Technology
Bertrand Meyer 0001|Saint Petersburg State University
Henrike Berthold|Harvard University
Hui Wang 0001|Swedish University of Agricultural Sciences
David J. Murray-Smith|University of York
M. Brian Blake|Shandong University
Chafia Bouanaka|Nanjing University
Andreas Becks|Wake Forest University
Claudio E. Palazzi|University of Denver
Emir Halepovic|Harbin Institute of Technology
Siuly Siuly|Aristotle University of Thessaloniki
Thomas La Porta|Drexel University
Wolfgang Everling|London School of Economics
David Bihanic|University of Birmingham
Michel Raynal|University of South Carolina   Columbia
Salim Ghanemi|University of Otago
Tobias Huber|Wake Forest University
Bhavani Thuraisingham|Icahn School of Medicine at Mount Sinai
Stephanie Ouillon|Aalto University
Joachim Weickert|University of Otago
Nelishia Pillay|University of Pisa
Isma Bouchemakh|Saint Louis University
Michel Scholl|University of Stuttgart
Óscar Corcho|Ludwig Maximilian University of Munich
Luiz Carlos Pereira|University of the Witwatersrand
Lior Rokach|Osaka University
Dag Normann|University of Queensland
Mahmoud Boufaïda|University of California Santa Cruz
José C. Príncipe|Wayne State University
Smruti Rekha Das|Southeast University
Dima Kilani|Brunel University
Hwanjo Yu|University of Pavia
Conrad S. Tucker|Nankai University
Karl Hahn|Loyola University Chicago
Jean-Pierre Cardinael|University of Lisbon
Pranav S. Nabar|Kyushu University
Khanh-Chuong Duong|Technical University of Madrid
Johann Márquez-Barja|Brown University
Nadjib Badache|Iowa State University
Yannis Kalfoglou|Newcastle University
Alin Dobra|Swedish University of Agricultural Sciences
Abhinav Karan|Shanghai Jiao Tong University
François Lesueur|Vita Salute San Raffaele University
Katia P. Sycara|New Mexico State University
Ferhat Khendek|University of Edinburgh
Sébastien Ferré|George Washington University
Sanjay Madria|University of Mississippi   Oxford Campus
Kerstin Schwarz|Hokkaido University
Yigal Arens|Hong Kong University of Science and Technology
Nishanth Augustine|Chalmers University of Technology
Victor Chupis|Wuhan University
InduShobha N. Chengalur-Smith|Catholic University of the Sacred Heart
Regina Motz|Ohio University
Naum Zuselevich Shor|Pontifical Catholic University of Chile
Anja Schanzenberger|University of Cambridge
Nigel Jacobs|Justus Liebig University Giessen
Thomas Lorünser|University of Notre Dame
Zhiwei Xu|University of Mississippi   Oxford Campus
Andreas Kohne|Cornell University
Matthias Renz|University of Cologne
Ricardo Martins 0003|University of Chile
Ferdinand Quella|Complutense University of Madrid
Boris Lavva|University of Alberta
Taoufik Djemel|University of Valencia
Jaipal Reddy Anugu|Radboud University Nijmegen
John Davies|Humboldt University of Berlin
Denise Hideko Goya|Loyola University Chicago
Justin Basilico|University of Helsinki
Horst Biller|Kobe University
Stefan Jablonski|University of Miami
Josep M. Pujol|University of Colorado Boulder
Yousra Bendaly Hlaoui|Syracuse University
Marco Zennaro|National University of Singapore
Alan Cannon|Jagiellonian University
Polychronis Velentzas|Yonsei University
Sajjad Ahmad Madani|University of New Mexico
Hao Wang 0025|Dalian University of Technology
Jacques Desrosiers|University of Texas Medical Branch at Galveston
Wil Michiels|Baylor College of Medicine
Daryl Kulak|University of Nevada Reno
Konstantinos Morfonios|University of Florida
Pierre Brimont|Temple University
Nadee Goonawardene|Tianjin University
Dominik Businger|École Polytechnique
Rasmus Ulslev Pedersen|Xiamen University
Ricardo Jiménez-Peris|University of California Davis
Shashi Phoha|University of Melbourne
Rebecca Montanari|VU University Amsterdam
Emile Stephan|Hong Kong Polytechnic University
Christian Lexcellent|Ewha Womans University
Yoshiharu Ishikawa|University of Campinas
Alberto Bartoli|Florida State University
Rainer Hauser|McGill University
Sadaaki Miyamoto|University of Paris Sud
Adel Alti|Lomonosov Moscow State University
Cristhian Iza Paredes|Kyungpook National University
Andy M. Yip|University of Pavia
Fabio Veronese|University of Pisa
Alessandro Morelli|London School of Hygiene & Tropical Medicine
Seung Hwan Ryu|Paul Sabatier University   Toulouse III
Ermelinda Oro|Nankai University
Dibyendu Roy 0001|University of Turin
Enrico Giacoletto|Northeastern University
Matthias Korch|University of Mississippi   Oxford Campus
Emanuele Menegatti|Fudan University
Khaled Salah Mohamed|Xi'an Jiaotong University
Ia Mosashvili|University of Connecticut
Claudia Roncancio|Erasmus University Rotterdam
Massimo Poesio|University of Porto
George Feuerlicht|University of Maryland College Park
Kasper Støy|Shinshu University
Abhijit Mishra|University of Porto
Theodore Johnson|University of New Mexico
David Taniar|Dalhousie University
Didier Colin|University of Liverpool
Max Heimel|University of Manchester
Thierry Bollon|Harvard University
Shaista Habib|Okayama University
Jalil Chagraoui|École normale supérieure   Paris
Nicole C. Krämer|University of Strathclyde
Haifeng Shen|Drexel University
Kendra M. L. Cooper|Washington University in St. Louis
Rainer Siebenhaar|Xiamen University
K. C. Wang|University of Pittsburgh   Pittsburgh Campus
Antoine Feghali|Federal University of Minas Gerais
Ahmed Elleuch|Tsinghua University
Krishna Raman|Washington State University Pullman
Fang Chen 0001|Indiana University   Bloomington
Maurice Nivat|University of Tsukuba
Martina Fischetti|Macquarie University
Gabriele Sadowski|Cornell University
Sadok Ben Yahia|University of Regensburg
Olivier Glück|University of Cambridge
Jun Adachi|Louisiana State University   Baton Rouge
Roman W. Swiniarski|University of Iowa
Norman W. Paton|University of Denver
Daniel Liberzon|Medical University of South Carolina
Erich J. Neuhold|University of Bordeaux II
Dominique Li|New Mexico State University
Moussa Labbadi|University of Bordeaux I
Kalina Bontcheva|University of Denver
Hind Hafdi|University of Manitoba
Ulrich Norbisrath|Illinois Institute of Technology
